============================================================
  PC-S³ 3-Seed Statistical Validation
  Modes: ['vanilla', 'concat', 'concat_shuffled']
  Seeds: [42, 123, 777]
  Epochs: 300 | Output: results/stats3seed/
  Total runs: 9
============================================================


############################################################
# [1/9] vanilla  seed=42
############################################################
/home/lab/miniconda3/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================
  Ep   1 | lr 6.0e-05 | train 4.3762 acc 0.049 | test 4.0925 acc 0.0866 ★
  Ep   2 | lr 9.0e-05 | train 4.1028 acc 0.086 | test 3.8401 acc 0.1312 ★
  Ep   3 | lr 1.2e-04 | train 3.8527 acc 0.119 | test 3.5230 acc 0.1822 ★
  Ep   4 | lr 1.5e-04 | train 3.6007 acc 0.160 | test 3.2295 acc 0.2309 ★
  Ep   5 | lr 1.8e-04 | train 3.3638 acc 0.200 | test 3.0057 acc 0.2747 ★
  Ep   6 | lr 2.1e-04 | train 3.1640 acc 0.236 | test 2.7874 acc 0.3140 ★
  Ep   7 | lr 2.4e-04 | train 2.9943 acc 0.267 | test 2.6847 acc 0.3286 ★
  Ep   8 | lr 2.7e-04 | train 2.8507 acc 0.294 | test 2.5859 acc 0.3451 ★
  Ep   9 | lr 3.0e-04 | train 2.7304 acc 0.316 | test 2.4233 acc 0.3801 ★
  Ep  10 | lr 3.0e-04 | train 2.6281 acc 0.338 | test 2.2679 acc 0.4140 ★
  Ep  11 | lr 3.0e-04 | train 2.5127 acc 0.359 | test 2.2349 acc 0.4196 ★
  Ep  12 | lr 3.0e-04 | train 2.4126 acc 0.380 | test 2.1183 acc 0.4436 ★
  Ep  13 | lr 3.0e-04 | train 2.3339 acc 0.397 | test 2.0814 acc 0.4525 ★
  Ep  14 | lr 3.0e-04 | train 2.2410 acc 0.418 | test 2.0150 acc 0.4670 ★
  Ep  15 | lr 3.0e-04 | train 2.1855 acc 0.428 | test 1.9910 acc 0.4745 ★
  Ep  16 | lr 3.0e-04 | train 2.1115 acc 0.445 | test 1.9081 acc 0.4866 ★
  Ep  17 | lr 3.0e-04 | train 2.0597 acc 0.456 | test 1.8383 acc 0.5050 ★
  Ep  18 | lr 3.0e-04 | train 2.0065 acc 0.468 | test 1.7662 acc 0.5223 ★
  Ep  19 | lr 3.0e-04 | train 1.9431 acc 0.479 | test 1.7505 acc 0.5269 ★
  Ep  20 | lr 3.0e-04 | train 1.8989 acc 0.493 | test 1.7195 acc 0.5386 ★
  Ep  21 | lr 3.0e-04 | train 1.8469 acc 0.504 | test 1.7156 acc 0.5330
  Ep  22 | lr 3.0e-04 | train 1.7985 acc 0.518 | test 1.6708 acc 0.5513 ★
  Ep  23 | lr 3.0e-04 | train 1.7575 acc 0.525 | test 1.6087 acc 0.5609 ★
  Ep  24 | lr 3.0e-04 | train 1.7240 acc 0.531 | test 1.5983 acc 0.5688 ★
  Ep  25 | lr 3.0e-04 | train 1.6933 acc 0.539 | test 1.6293 acc 0.5583
  Ep  26 | lr 3.0e-04 | train 1.6578 acc 0.549 | test 1.5662 acc 0.5745 ★
  Ep  27 | lr 3.0e-04 | train 1.6254 acc 0.558 | test 1.5412 acc 0.5809 ★
  Ep  28 | lr 3.0e-04 | train 1.5859 acc 0.567 | test 1.5639 acc 0.5774
  Ep  29 | lr 3.0e-04 | train 1.5524 acc 0.571 | test 1.5420 acc 0.5814 ★
  Ep  30 | lr 3.0e-04 | train 1.5252 acc 0.580 | test 1.4987 acc 0.5910 ★
  Ep  31 | lr 3.0e-04 | train 1.4980 acc 0.587 | test 1.4865 acc 0.5911 ★
  Ep  32 | lr 3.0e-04 | train 1.4676 acc 0.593 | test 1.4827 acc 0.5942 ★
  Ep  33 | lr 3.0e-04 | train 1.4372 acc 0.601 | test 1.4878 acc 0.5900
  Ep  34 | lr 2.9e-04 | train 1.4216 acc 0.603 | test 1.4854 acc 0.5894
  Ep  35 | lr 2.9e-04 | train 1.3901 acc 0.613 | test 1.4550 acc 0.6045 ★
  Ep  36 | lr 2.9e-04 | train 1.3626 acc 0.621 | test 1.4618 acc 0.6018
  Ep  37 | lr 2.9e-04 | train 1.3466 acc 0.625 | test 1.3999 acc 0.6135 ★
  Ep  38 | lr 2.9e-04 | train 1.3189 acc 0.630 | test 1.4119 acc 0.6166 ★
  Ep  39 | lr 2.9e-04 | train 1.2950 acc 0.636 | test 1.4310 acc 0.6090
  Ep  40 | lr 2.9e-04 | train 1.2771 acc 0.639 | test 1.4208 acc 0.6112
  Ep  41 | lr 2.9e-04 | train 1.2454 acc 0.648 | test 1.3908 acc 0.6168 ★
  Ep  42 | lr 2.9e-04 | train 1.2265 acc 0.653 | test 1.3974 acc 0.6170 ★
  Ep  43 | lr 2.9e-04 | train 1.2108 acc 0.657 | test 1.4343 acc 0.6126
  Ep  44 | lr 2.9e-04 | train 1.1886 acc 0.662 | test 1.4006 acc 0.6152
  Ep  45 | lr 2.9e-04 | train 1.1684 acc 0.670 | test 1.3767 acc 0.6248 ★
  Ep  46 | lr 2.9e-04 | train 1.1531 acc 0.672 | test 1.3690 acc 0.6253 ★
  Ep  47 | lr 2.9e-04 | train 1.1256 acc 0.678 | test 1.3932 acc 0.6196
  Ep  48 | lr 2.9e-04 | train 1.1178 acc 0.682 | test 1.3960 acc 0.6172
  Ep  49 | lr 2.9e-04 | train 1.0824 acc 0.690 | test 1.4068 acc 0.6217
  Ep  50 | lr 2.9e-04 | train 1.0728 acc 0.693 | test 1.3863 acc 0.6284 ★
  Ep  51 | lr 2.9e-04 | train 1.0606 acc 0.694 | test 1.3645 acc 0.6289 ★
  Ep  52 | lr 2.8e-04 | train 1.0393 acc 0.701 | test 1.4124 acc 0.6213
  Ep  53 | lr 2.8e-04 | train 1.0263 acc 0.702 | test 1.4094 acc 0.6199
  Ep  54 | lr 2.8e-04 | train 1.0208 acc 0.707 | test 1.4138 acc 0.6222
  Ep  55 | lr 2.8e-04 | train 1.0101 acc 0.710 | test 1.3869 acc 0.6293 ★
  Ep  56 | lr 2.8e-04 | train 0.9891 acc 0.715 | test 1.4218 acc 0.6261
  Ep  57 | lr 2.8e-04 | train 0.9572 acc 0.723 | test 1.3950 acc 0.6279
  Ep  58 | lr 2.8e-04 | train 0.9506 acc 0.726 | test 1.3940 acc 0.6272
  Ep  59 | lr 2.8e-04 | train 0.9408 acc 0.728 | test 1.3685 acc 0.6318 ★
  Ep  60 | lr 2.8e-04 | train 0.9195 acc 0.734 | test 1.3936 acc 0.6332 ★
  Ep  61 | lr 2.8e-04 | train 0.9068 acc 0.737 | test 1.4374 acc 0.6237
  Ep  62 | lr 2.8e-04 | train 0.8975 acc 0.740 | test 1.4400 acc 0.6270
  Ep  63 | lr 2.8e-04 | train 0.8754 acc 0.746 | test 1.3769 acc 0.6384 ★
  Ep  64 | lr 2.8e-04 | train 0.8641 acc 0.748 | test 1.3871 acc 0.6321
  Ep  65 | lr 2.7e-04 | train 0.8516 acc 0.753 | test 1.3951 acc 0.6360
  Ep  66 | lr 2.7e-04 | train 0.8499 acc 0.752 | test 1.3949 acc 0.6371
  Ep  67 | lr 2.7e-04 | train 0.8315 acc 0.757 | test 1.4153 acc 0.6354
  Ep  68 | lr 2.7e-04 | train 0.8321 acc 0.759 | test 1.4096 acc 0.6376
  Ep  69 | lr 2.7e-04 | train 0.7983 acc 0.768 | test 1.4275 acc 0.6345
  Ep  70 | lr 2.7e-04 | train 0.8043 acc 0.767 | test 1.3981 acc 0.6421 ★
  Ep  71 | lr 2.7e-04 | train 0.7974 acc 0.767 | test 1.4248 acc 0.6387
  Ep  72 | lr 2.7e-04 | train 0.7647 acc 0.777 | test 1.4469 acc 0.6286
  Ep  73 | lr 2.7e-04 | train 0.7724 acc 0.776 | test 1.3973 acc 0.6410
  Ep  74 | lr 2.7e-04 | train 0.7460 acc 0.782 | test 1.4183 acc 0.6377
  Ep  75 | lr 2.6e-04 | train 0.7432 acc 0.783 | test 1.4450 acc 0.6314
  Ep  76 | lr 2.6e-04 | train 0.7403 acc 0.784 | test 1.4357 acc 0.6381
  Ep  77 | lr 2.6e-04 | train 0.7273 acc 0.788 | test 1.4515 acc 0.6331
  Ep  78 | lr 2.6e-04 | train 0.7209 acc 0.789 | test 1.4597 acc 0.6352
  Ep  79 | lr 2.6e-04 | train 0.7058 acc 0.793 | test 1.4380 acc 0.6362
  Ep  80 | lr 2.6e-04 | train 0.7068 acc 0.794 | test 1.4467 acc 0.6358
  Ep  81 | lr 2.6e-04 | train 0.6871 acc 0.801 | test 1.4399 acc 0.6374
  Ep  82 | lr 2.6e-04 | train 0.6829 acc 0.804 | test 1.4588 acc 0.6366
  Ep  83 | lr 2.6e-04 | train 0.6698 acc 0.806 | test 1.4343 acc 0.6463 ★
  Ep  84 | lr 2.5e-04 | train 0.6640 acc 0.807 | test 1.4559 acc 0.6407
  Ep  85 | lr 2.5e-04 | train 0.6704 acc 0.804 | test 1.4515 acc 0.6422
  Ep  86 | lr 2.5e-04 | train 0.6489 acc 0.808 | test 1.4626 acc 0.6379
  Ep  87 | lr 2.5e-04 | train 0.6514 acc 0.810 | test 1.4555 acc 0.6416
  Ep  88 | lr 2.5e-04 | train 0.6347 acc 0.814 | test 1.4561 acc 0.6433
  Ep  89 | lr 2.5e-04 | train 0.6259 acc 0.817 | test 1.4716 acc 0.6366
  Ep  90 | lr 2.5e-04 | train 0.6186 acc 0.818 | test 1.4670 acc 0.6421
  Ep  91 | lr 2.5e-04 | train 0.6183 acc 0.820 | test 1.4370 acc 0.6488 ★
  Ep  92 | lr 2.4e-04 | train 0.6121 acc 0.821 | test 1.4636 acc 0.6454
  Ep  93 | lr 2.4e-04 | train 0.6015 acc 0.824 | test 1.4790 acc 0.6420
  Ep  94 | lr 2.4e-04 | train 0.6002 acc 0.827 | test 1.4642 acc 0.6405
  Ep  95 | lr 2.4e-04 | train 0.5914 acc 0.828 | test 1.4726 acc 0.6458
  Ep  96 | lr 2.4e-04 | train 0.5764 acc 0.833 | test 1.4767 acc 0.6421
  Ep  97 | lr 2.4e-04 | train 0.5741 acc 0.832 | test 1.4901 acc 0.6410
  Ep  98 | lr 2.4e-04 | train 0.5700 acc 0.835 | test 1.4781 acc 0.6399
  Ep  99 | lr 2.4e-04 | train 0.5655 acc 0.837 | test 1.5116 acc 0.6401
  Ep 100 | lr 2.3e-04 | train 0.5533 acc 0.837 | test 1.4786 acc 0.6471
  Ep 101 | lr 2.3e-04 | train 0.5495 acc 0.840 | test 1.5003 acc 0.6415
  Ep 102 | lr 2.3e-04 | train 0.5513 acc 0.838 | test 1.4744 acc 0.6510 ★
  Ep 103 | lr 2.3e-04 | train 0.5435 acc 0.842 | test 1.5082 acc 0.6440
  Ep 104 | lr 2.3e-04 | train 0.5324 acc 0.844 | test 1.4934 acc 0.6419
