Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep   1 | lr 6.0e-05 | train 4.5820 acc 0.039 | test 4.1741 acc 0.0710 ★
  Ep   2 | lr 9.0e-05 | train 4.1292 acc 0.081 | test 3.8345 acc 0.1221 ★
  Ep   3 | lr 1.2e-04 | train 3.8648 acc 0.119 | test 3.5436 acc 0.1708 ★
  Ep   4 | lr 1.5e-04 | train 3.6581 acc 0.150 | test 3.3455 acc 0.2048 ★
  Ep   5 | lr 1.8e-04 | train 3.4624 acc 0.184 | test 3.1329 acc 0.2422 ★
  Ep   6 | lr 2.1e-04 | train 3.2856 acc 0.212 | test 2.9559 acc 0.2787 ★
  Ep   7 | lr 2.4e-04 | train 3.1169 acc 0.244 | test 2.7813 acc 0.3091 ★
  Ep   8 | lr 2.7e-04 | train 2.9745 acc 0.269 | test 2.6745 acc 0.3277 ★
  Ep   9 | lr 3.0e-04 | train 2.8426 acc 0.294 | test 2.5367 acc 0.3550 ★
  Ep  10 | lr 3.0e-04 | train 2.7327 acc 0.314 | test 2.4045 acc 0.3834 ★
  Ep  11 | lr 3.0e-04 | train 2.6208 acc 0.338 | test 2.3046 acc 0.4028 ★
  Ep  12 | lr 3.0e-04 | train 2.5206 acc 0.361 | test 2.2283 acc 0.4234 ★
  Ep  13 | lr 3.0e-04 | train 2.4215 acc 0.378 | test 2.1200 acc 0.4473 ★
  Ep  14 | lr 3.0e-04 | train 2.3391 acc 0.397 | test 2.0524 acc 0.4603 ★
  Ep  15 | lr 3.0e-04 | train 2.2661 acc 0.412 | test 2.0156 acc 0.4743 ★
  Ep  16 | lr 3.0e-04 | train 2.1982 acc 0.425 | test 1.9727 acc 0.4777 ★
  Ep  17 | lr 3.0e-04 | train 2.1292 acc 0.441 | test 1.9155 acc 0.4919 ★
  Ep  18 | lr 3.0e-04 | train 2.0723 acc 0.454 | test 1.8502 acc 0.5078 ★
  Ep  19 | lr 3.0e-04 | train 2.0153 acc 0.466 | test 1.7819 acc 0.5237 ★
  Ep  20 | lr 3.0e-04 | train 1.9726 acc 0.475 | test 1.7594 acc 0.5224
  Ep  21 | lr 3.0e-04 | train 1.9316 acc 0.486 | test 1.7397 acc 0.5298 ★
  Ep  22 | lr 3.0e-04 | train 1.8699 acc 0.497 | test 1.7179 acc 0.5391 ★
  Ep  23 | lr 3.0e-04 | train 1.8348 acc 0.507 | test 1.6648 acc 0.5467 ★
  Ep  24 | lr 3.0e-04 | train 1.7878 acc 0.519 | test 1.6585 acc 0.5545 ★
  Ep  25 | lr 3.0e-04 | train 1.7446 acc 0.525 | test 1.6546 acc 0.5528
  Ep  26 | lr 3.0e-04 | train 1.7164 acc 0.531 | test 1.6115 acc 0.5641 ★
  Ep  27 | lr 3.0e-04 | train 1.6779 acc 0.542 | test 1.6093 acc 0.5642 ★
  Ep  28 | lr 3.0e-04 | train 1.6393 acc 0.552 | test 1.5643 acc 0.5737 ★
  Ep  29 | lr 3.0e-04 | train 1.6072 acc 0.557 | test 1.5531 acc 0.5781 ★
  Ep  30 | lr 3.0e-04 | train 1.5916 acc 0.563 | test 1.5535 acc 0.5797 ★
  Ep  31 | lr 3.0e-04 | train 1.5444 acc 0.574 | test 1.5376 acc 0.5797 ★
  Ep  32 | lr 3.0e-04 | train 1.5166 acc 0.580 | test 1.5067 acc 0.5882 ★
